"","YEAR","STATE","COUNTY","ST_CASE","MONTH","DAY","HOUR","MINUTE","FATALS","HARM_EV","WEATHER","CF1","CF2","CF3","DRUNK_DR","RAIL","DATE.Y","DATE"
"127",1975,1,73,10127,3,4,15,35,1,8,1,0,0,0,0,"*******",1975-03-04,2014-03-04
"128",1975,1,101,10128,3,2,5,0,2,28,1,0,0,0,0,"*******",1975-03-02,2014-03-02
"129",1975,1,73,10129,3,6,12,0,1,1,1,0,0,0,0,"*******",1975-03-06,2014-03-06
"130",1975,1,73,10130,3,7,6,45,1,10,1,0,0,0,0,"*******",1975-03-07,2014-03-07
"131",1975,1,73,10131,3,7,10,27,2,12,1,0,0,0,0,"*******",1975-03-07,2014-03-07
"132",1975,1,9,10132,3,4,14,25,1,12,1,3,0,0,0,"*******",1975-03-04,2014-03-04
"133",1975,1,1,10133,3,3,10,30,1,12,1,0,0,0,0,"*******",1975-03-03,2014-03-03
"134",1975,1,117,10134,3,2,15,0,1,10,1,3,0,0,0,"*******",1975-03-02,2014-03-02
"135",1975,1,81,10135,3,8,13,55,1,12,1,5,0,0,0,"*******",1975-03-08,2014-03-08
"136",1975,1,17,10136,3,1,3,15,2,22,1,0,0,0,1,"*******",1975-03-01,2014-03-01
"137",1975,1,91,10137,3,2,22,0,3,12,1,3,0,0,0,"*******",1975-03-02,2014-03-02
"138",1975,1,97,10138,3,5,17,28,1,12,1,0,0,0,0,"*******",1975-03-05,2014-03-05
"139",1975,1,33,10139,3,12,6,30,1,12,1,0,0,0,0,"*******",1975-03-12,2014-03-12
"140",1975,1,21,10140,3,13,14,0,1,5,1,0,0,0,0,"*******",1975-03-13,2014-03-13
"141",1975,1,79,10141,3,9,7,30,1,1,1,0,0,0,0,"*******",1975-03-09,2014-03-09
"142",1975,1,77,10142,3,15,20,15,1,12,1,0,0,0,0,"*******",1975-03-15,2014-03-15
"143",1975,1,7,10143,3,5,11,39,2,10,1,0,0,0,0,"*******",1975-03-05,2014-03-05
"144",1975,1,15,10144,3,9,11,14,1,22,1,0,0,0,0,"*******",1975-03-09,2014-03-09
"145",1975,1,81,10145,3,13,10,20,1,8,1,3,0,0,0,"*******",1975-03-13,2014-03-13
"146",1975,1,85,10146,3,22,13,57,2,12,1,0,0,0,0,"*******",1975-03-22,2014-03-22
"147",1975,1,3,10147,3,14,21,30,1,12,1,0,0,0,0,"*******",1975-03-14,2014-03-14
"148",1975,1,119,10148,3,14,1,50,1,12,1,0,0,0,0,"*******",1975-03-14,2014-03-14
"149",1975,1,87,10149,3,14,13,55,1,8,1,0,0,0,0,"*******",1975-03-14,2014-03-14
"150",1975,1,73,10150,3,9,9,50,1,12,1,0,0,0,1,"*******",1975-03-09,2014-03-09
